id,ECO_NAME,feature_x,feature_y,BIOME ID,Carbon Storage Trees - kg per Tree,Carbon Storage Rooftops - kg per m2^2,Oxygen Trees - kg / tree,Oxygen Rooftops - kg / m2,Carbon Dioxide Cars - kg / car,Urban Cooling Trees - Kelvin / tree,Urban Cooling Rooftops - Kelvin / m2^2
1109,Sahara desert,"-5,119,599,086,906,620","20,685,867,531,135,100",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1110,Sahara desert,"3,529,354,559,099,620","25,383,496,049,674,000",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1111,Sahara desert,"22,677,079,747,383,200","23,564,096,127,228,200",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1112,Sahara desert,"12,694,307,419,913,700","26,915,226,042,477,100",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1113,Sahara desert,"25,001,240,723,949,300","19,202,840,862,334,600",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1114,Sahara desert,"29,467,879,807,562,700","26,688,974,682,650,700",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1115,Sahara desert,"12,566,098,603,973,600","17,817,243,413,646,600",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1116,Sahara desert,"19,235,765,145,961,400","24,628,028,698,224,100",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1117,Sahara desert,"17,590,760,057,629,400","22,401,964,779,081,700",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1118,Sahara desert,"20,827,410,699,010,100","29,031,598,740,415,200",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1119,Sahara desert,"18,258,174,632,751,600","26,366,537,396,490,100",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1120,Sahara desert,"16,585,613,720,622,900","19,364,774,424,159,100",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1121,Sahara desert,"27,363,731,394,434,600","27,880,367,128,005,000",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1122,Sahara desert,"1,904,686,055,344,350","29,784,025,951,433,400",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1123,Sahara desert,"27,247,646,022,284,700","28,066,830,714,253,800",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1124,Sahara desert,"4,948,676,831,286,210","20,028,708,982,559,600",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1125,Sahara desert,"-4,548,529,818,235,500","20,285,358,573,198,900",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1126,Sahara desert,"34,470,727,974,791,200","22,164,926,053,712,700",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1127,Sahara desert,"13,216,800,484,609,900","18,900,569,210,116,600",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1128,Sahara desert,"-6,141,179,031,382,830","20,070,201,869,657,700",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1129,Sahara desert,"31,082,788,965,341,900","27,766,510,843,402,500",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1130,Sahara desert,"-4,377,107,778,108,600","27,696,430,441,717,300",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1131,Sahara desert,-0.245232727,"28,399,014,659,055,900",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1132,Sahara desert,"19,425,328,283,439,100","20,620,075,163,358,700",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1133,Sahara desert,"31,697,413,634,071,500","29,309,803,106,923,500",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1134,Sahara desert,"-1,246,591,649,987,540","22,588,973,634,097,400",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1135,Sahara desert,"21,756,103,690,653,200","18,610,557,982,297,500",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
1136,Sahara desert,"33,941,184,295,442,600","24,401,172,729,482,500",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
