id,ECO_NAME,feature_x,feature_y,BIOME ID,Carbon Storage Trees - kg per Tree,Carbon Storage Rooftops - kg per m2^2,Oxygen Trees - kg / tree,Oxygen Rooftops - kg / m2,Carbon Dioxide Cars - kg / car,Urban Cooling Trees - Kelvin / tree,Urban Cooling Rooftops - Kelvin / m2^2
1232,Ethiopian montane forests,"37,306,358,918,881,100","13,082,770,272,138,800",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1233,Somali Acacia-Commiphora bushlands and thickets,"41,764,044,245,603,000","7,023,613,838,777,930",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1234,Somali Acacia-Commiphora bushlands and thickets,"42,713,355,753,697,800","8,520,709,879,185,900",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1235,Somali Acacia-Commiphora bushlands and thickets,"44,611,842,979,623,500","7,256,090,973,752,180",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1236,Somali Acacia-Commiphora bushlands and thickets,"49,396,993,380,579,000","9,667,707,191,341,840",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1237,Somali Acacia-Commiphora bushlands and thickets,"40,905,735,982,220,200",-0.854656526,7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1238,Somali Acacia-Commiphora bushlands and thickets,"46,964,354,858,233,500","8,917,192,845,056,230",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1239,Somali Acacia-Commiphora bushlands and thickets,"43,940,871,924,249,100","3,419,226,116,532,210",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1240,Somali Acacia-Commiphora bushlands and thickets,"42,542,523,603,740,800","4,383,456,581,367,910",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1241,Somali Acacia-Commiphora bushlands and thickets,"44,934,699,296,279,300","6,115,053,745,530,240",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1242,Tenasserim-South Thailand semi-evergreen rain forests,"98,839,969,394,199,700","8,297,076,300,301,870",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1243,Ethiopian montane grasslands and woodlands,"38,340,340,847,030,600","9,917,471,289,418,870",10,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1244,Guinean forest-savanna mosaic,"-1,481,994,355,996,370","7,491,017,853,359,770",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1245,Guinean forest-savanna mosaic,"-15,590,389,838,897,900","12,852,375,876,520,100",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
